date,Lead,"Lead,Dissolved",pH,"Cadmium,Dissolved",Cadmium,Sulphate_as_SO4,"Zinc, Dissolved",Iron,"Copper,Dissolved",Copper,Zinc,"Iron,Dissolved",rainfall_mm,temperature_C
2014/1/16,22,8.08,8.16,3.34,3.5,107,1830,294,1,1,1860,59.6,129.5122085,3.673611853
2014/2/19,117,13.2,8.2,3.32,3.66,84.1,1690,515,1,1.1,1940,79.9,124.5783363,4.21648789
2014/3/17,419,4.36,8.26,2.99,5.01,138,1910,1730,1,2.03,3210,30,71.85581405,5.604989674
2014/4/15,1790,7.14,7.86,3.09,11.5,127,1960,5860,1,4.87,6870,53.1,64.16508148,8.164038343
2014/5/8,28.3,11.3,8.15,2.95,3.18,106,1580,452,1.43,1,1790,108,102.8316136,10.34910311
2014/6/23,36.6,2,7.83,3.17,4.14,141,2240,1680,1,1.25,3050,30,42.24402544,13.36064682
2014/7/17,30.4,2,7.97,2.9,3.54,138,2190,543,1,1,2630,30,48.86472971,15.23673438
2014/8/5,13.2,2,7.92,2.85,3.26,138,2050,533,1,1.01,2140,30,116.1871008,12.85120323
2014/9/4,42.2,5.18,7.8,3.12,3.64,9.18,0.5,40.8,1,2660,153,12,20.57349933,12.89111446
2014/10/9,20,11.7,8.16,3.05,3.15,8.35,0.5,23.3,1.01,1970,111,9.34,105.4984334,9.994135116
2014/11/12,63.2,17.5,7.89,3.27,3.62,6.76,0.5,81.2,1.36,2250,99.8,9.15,92.63948129,6.705751905
2014/12/10,116,21,8.1,3.19,4.11,6.61,0.5,97.4,1.76,2440,89.9,9,104.339971,3.402968341
2015/1/13,1100,10.8,7.63,3.55,6.29,101,1770,3050,1,2.95,4110,71.5,122.2274864,2.705817121
2015/2/18,12.8,5.86,8.26,3.2,3.41,125,1820,247,1,1,1970,52.3,49.22814945,2.689013118
2015/3/11,10.2,3.89,8.25,3.17,3.42,135,1950,245,1,1,2050,30,74.41304908,4.473764945
2015/5/19,14.3,3.92,8.29,3.01,3.28,139,1870,310,1,1,1990,39,102.9719919,8.521681555
2015/6/23,12.3,2,8.29,2.78,3.08,148,1860,391,1,1,2050,30,35.41328718,11.73310942
2015/7/21,10.7,2.9,8.15,2.74,3,143,1960,299,1,1,2020,45.5,125.907423,13.22876057
2015/8/10,15.2,4.23,8.14,2.97,3.22,148,8.2,167,100,1,1,149,71.00145773,13.8736904
2015/9/10,11.2,3.76,7.84,3.55,3.92,154,7.88,192,100,1,1,183,34.29729532,10.96946873
2015/10/14,9.58,5.16,8.25,3.39,3.6,157,8.46,162,100,1,1,160,62.99881925,8.861187555
2015/11/11,49.4,36.9,8.12,3.89,3.99,112,8.31,114,100,1.79,1.83,112,185.6826559,7.061241443
2016/1/11,45.8,26.9,7.75,3.54,3.65,103,1750,376,1.24,1.26,1950,152,187.7867619,3.588144712
2016/2/10,26.1,15,8.14,3.49,3.67,102,1840,248,1,1,1770,87.1,69.82242124,2.638551343
2016/3/7,18.2,12,8.19,3.39,3.47,129,1960,307,1,1,1960,87.7,42.91022542,4.469321621
2016/4/11,34.6,25.3,8.17,2.85,2.9,97.9,1590,357,1.15,1.23,1670,172,72.43070367,5.35468884
2016/5/9,19.5,6.2,7.98,3.16,3.41,120,2060,460,1,1,2130,82.8,31.64800045,9.99264536
2016/6/22,25.9,10.7,8.2,2.35,2.65,101,1590,435,1,1.02,1700,159,75.16487553,12.49087966
2016/7/11,60.9,38.1,7.92,2.45,2.75,72.1,1430,690,1.99,2.17,1610,414,85.58047599,14.27961703
2016/8/11,109,44.3,8,3.08,3.8,79.3,1750,1360,1.98,2.76,1980,442,92.18501316,14.31837747
2016/9/8,28.7,16.8,7.86,4.15,4.42,120,2490,504,1.1,1.15,2830,240,72.83415444,13.78650137
2016/10/18,57.8,19.8,8.12,3.18,3.62,109,1730,688,1.69,2.01,2110,127,55.18624385,8.838161061
2016/11/23,31.6,17.6,8.15,4.3,4.45,108,2080,288,1.33,1.41,2170,97.6,102.8868599,3.490169888
2016/12/14,258,5.21,8.27,3.57,4.68,130,2230,1610,1,1.5,3580,46.6,57.46747442,5.348127986
2017/1/11,30.8,10.7,8.25,3.29,3.51,123,1900,379,1,1,1990,74.5,39.97887329,2.928203781
2017/2/15,344,5.12,8.19,3.11,7.96,113,1750,5220,1,5.15,6670,41.8,90.05509464,4.322697662
2017/3/27,2850,8.82,8.17,3.53,7.02,133,2000,6010,1,4.76,5190,51.8,104.1693932,6.342521303
2017/4/10,218,3.92,8.31,3.09,4.75,151,1910,2140,1,1.98,3740,30,19.39280505,7.135262468
2017/5/22,379,2,8.09,2.73,8.53,160,1940,12400,1,6.25,8370,30,27.46756105,11.11161764
2017/6/20,11.4,2,7.93,3.42,3.66,160,2520,266,1,1,2610,30,137.026386,13.39235949
2017/7/18,25.9,2,7.82,3.88,4.1,155,2690,365,1,1,3170,30,97.92866245,13.64809208
2017/8/23,28.6,7.03,7.86,3.98,4.28,152,2710,377,1,1.01,2890,55.1,63.16215205,13.64138564
2017/9/19,595,7.45,7.98,2.85,7.73,126,2000,8030,1,4.41,5960,46.3,96.37581317,11.68281991
2017/10/20,34,17.8,7.89,3.77,3.87,117,2020,359,1.21,1.49,2230,94.3,89.97916224,10.26129975
2017/11/21,112,22.7,8.03,3.15,4.18,105,1740,1130,1.71,2.2,2530,136,90.01573494,4.415554858
2017/12/14,16.8,4.79,8.35,3.29,3.42,75,2030,322,1,1,2120,41.4,75.064557,2.784903799
2018/1/24,122,14.9,7.93,3.56,4.44,77.5,1640,1040,1,2.12,2340,60,103.3784628,2.868464118
2018/2/23,13.3,18.1,8.25,3.25,3.65,150,1920,269,1,1,2080,60.9,76.14760935,1.247728419
2018/3/28,13.5,6.01,8.22,3.53,3.71,145,1890,271,1,1,2130,47.5,96.64166323,2.613510455
2018/4/30,11.2,3.3,8.23,8.3,9.09,176,3120,486,1,1,3470,30,73.45297068,7.196629333
2018/5/23,34.2,2,8.04,33.4,36.6,212,6360,1210,1,1,7530,30,27.16652184,11.09125855
2018/6/18,541,2.61,7.98,40.5,55.2,227,6870,5330,1,3.34,14200,30,45.89636635,13.39129183
2018/7/25,10.7,2,7.85,26.7,29.3,214,7870,834,1,1,8640,30,38.43228412,16.0117762
2018/8/15,7.77,2,8.07,19.7,21.4,193,6430,718,1,1,7310,30,86.51243213,14.30682725
2018/9/25,38.5,4.35,8.23,10.9,11.9,170,3730,926,1,1.66,4620,30,82.70991795,11.41149795
2018/10/29,25.4,2.38,8.25,10.6,11.9,182,4210,754,1,1,5330,30,76.87690445,8.469713812
2018/11/27,16.9,6.29,7.88,9.43,9.85,168,4290,441,1,1,4570,36.6,96.37648322,6.50184388
2018/12/17,33.2,13.2,8.1,7.28,7.7,143,2970,462,1.08,1.5,3300,70.7,66.47202286,4.378183742
2019/1/30,18.5,6.41,8.23,9.91,10.4,194,4200,651,1,1,5370,115,24.59105802,2.521584793
2019/2/27,8.21,2.27,8.13,12.1,12.9,191,6080,626,1,1,6450,30,44.32338606,5.280789495
2019/3/27,11.8,3.14,8.24,11.4,12.2,188,5280,609,1,1,5660,30,128.80032,5.668790512
2019/4/23,43.5,4.71,7.85,11.6,12.4,185,6190,657,1,1,6620,30,42.15318622,6.9293851
2019/5/22,15.2,5.68,8.22,10.2,10.8,185,4950,467,1,1,5260,30,63.01785486,8.948859199
2019/6/25,36.7,10.2,7.99,9.15,9.75,169,4990,604,1,1.26,5570,74.1,105.6088095,12.06962434
2019/7/24,14,2,7.9,8.5,9.2,190,5700,560,1,1,5500,30,102.8968934,15.65996817
2019/8/29,260,3.5,8,7.1,12,190,3900,6000,1,2.8,7700,30,169.4591658,14.92382379
2019/9/18,44,3.9,8.1,7,8,190,3400,1500,1,1,4300,34,134.0940232,11.88610138
2019/10/4,60,21,8,6.7,7.6,170,3600,700,1.9,1.6,4500,110,95.05652573,7.524603415
2019/10/23,540,7.6,8.2,5.6,13,180,3200,8400,1,4.2,9300,39,95.05652573,7.524603415
2019/10/30,15,9.2,8.2,6.5,7,190,3700,520,1,1,4100,68,95.05652573,7.524603415
2019/11/19,18,10,8.14,6.2,6.6,180,3400,470,1,1,3700,74,132.7909477,4.249063886
2019/11/20,27,8.2,8.2,6.4,6.8,190,3400,570,1,1,3900,56,132.7909477,4.249063886
2019/12/17,16,8.7,8.2,5.8,6.2,170,3200,430,1,1,3400,57,73.53133673,4.138067295
2019/12/18,17,7.5,8.1,6,6.4,180,3400,490,1,1,4000,50,73.53133673,4.138067295
2021/4/21,62,5.6,8.2,6.7,7.5,210,4000,720,1.1,1.9,4500,30,16.36468862,4.50884348
2021/5/18,25,15,8.2,5.7,5.9,160,3400,470,2.1,2.5,3700,76,93.92528316,8.014053387
2021/6/24,2,,7.9,,8.1,210,,30,,1,5700,,21.93725485,13.27733118
2021/7/21,81,2,7.8,11,12,,6900,,1,2.7,8300,30,79.13682261,15.84211959
2021/7/29,9.5,100,8,10,11,230,5700,320,1.2,2,6400,61,79.13682261,15.84211959
2021/8/17,9.3,2.4,8.03,11,11,,6200,,1.2,2.7,6600,30,61.79116343,14.06727112
2021/8/25,25,9.4,7.8,13,13,230,7800,600,3.1,5.9,7400,48,61.79116343,14.06727112
2021/9/29,35,21,8.1,7.8,8.2,180,3700,460,2.3,3.9,4500,130,49.2246526,13.83839595
2021/10/26,18,6.5,8.2,8,8.4,210,4700,430,1.3,2.2,5000,46,135.4128594,9.796117214
2021/10/28,82,52,7.8,5.5,5.8,110,2700,600,2.7,3.4,3100,280,135.4128594,9.796117214
2021/11/18,27,15,8.2,6.7,6.9,180,3600,430,1.8,2.8,4100,89,72.86904055,6.067347161
2021/11/24,29,9.4,8.2,6.9,7.2,190,4000,510,1,1.6,4600,56,72.86904055,6.067347161
2021/12/21,13,5.4,8.2,7,7.4,200,4300,470,1,1.3,4600,30,104.0096411,3.685224767
2022/1/25,57,21,8.2,6.2,7.1,210,3700,1100,1,1.5,4600,30,32.40043923,3.975985962
2022/1/26,15,6.8,8.3,6.2,6.6,210,3800,470,1.9,1.3,4100,30,32.40043923,3.975985962
2022/2/24,26,13,8.1,4.1,4.3,110,2300,310,1,1.6,2200,78,118.8478072,4.512480884
2022/3/23,20,12,8,6.3,6.8,190,4300,500,1,1,4500,30,44.10481786,5.896748842
2022/3/24,14,4.4,7.9,6.5,6.9,190,4400,440,1.2,1.4,4600,30,44.10481786,5.896748842
2022/4/20,13,3.4,8.1,6.2,6.6,190,3900,510,1,1,4300,30,38.47985075,6.97369331
2022/4/25,16,5.3,8.2,6.1,6.5,190,3700,540,2.4,2.8,4000,30,38.47985075,6.97369331
2022/5/19,32,8.4,8.1,6,6.4,180,3700,490,1,1,4000,63,63.63761888,10.84760852
2022/6/14,13,3.7,8.3,6.7,6.9,190,4100,550,1,1,4300,30,47.6230329,13.10488887
2022/6/15,10,2.3,8,6.9,7.7,,4500,580,1,1.7,4900,30,47.6230329,13.10488887
2022/6/28,11,200,8.1,7.9,7.5,200,4500,600,1,1,4800,89,47.6230329,13.10488887
2022/7/12,9.9,2,8,7.6,7.9,200,5100,510,1,1,5100,30,44.45827127,15.92135947
2022/8/17,10,4.5,,7.2,7.6,200,4600,430,1,1,4900,37,43.19732264,15.18791467
2022/8/25,9.8,2.2,,7.9,8.3,200,5400,510,1,1,5700,30,43.19732264,15.18791467
2022/9/21,24,6.5,7.93,8.3,9.1,190,5400,640,1,1,6000,65,108.8922571,12.4150323
2022/10/17,58,42,7.87,4.6,4.8,88,2300,570,1.9,2.4,2600,270,125.4805953,10.28309501
2022/10/19,46,14,8.04,6.6,7.2,160,3700,750,1.2,1.1,4400,87,125.4805953,10.28309501
2022/11/23,32,15,7.9,7,7.5,150,3900,610,1.2,1.4,4200,83,113.5355393,7.083313227
2022/12/6,29,17,,6.2,6.7,140,3300,570,2,2,3600,110,102.5519684,1.822287248
2022/12/19,49,6.8,,6.3,7.3,150,3600,1000,1,1.2,4200,67,102.5519684,1.822287248
2023/1/16,67,8.8,,6.3,7.1,150,3300,720,1,1.2,4100,57,90.96029536,3.532009377
2023/2/20,23,11,,6.4,6.9,150,3400,540,1.2,1.4,3700,65,33.86616749,5.088630108
2023/2/21,18,9.4,,6.5,7.1,160,3600,550,1,1,3800,62,33.86616749,5.088630108
2023/3/21,14,5.9,,7.7,8.2,180,4100,600,1,1,4600,39,96.20084082,4.759566751
2023/4/28,24,7.6,8.23,7.2,8,180,3800,590,1,1,4400,51,60.51666396,6.721221175
2023/5/26,11,2.2,7.83,8.7,9,190,5700,540,1,1,5800,30,36.70221789,10.99120774
2023/6/21,13,2.7,7.94,7.8,8.6,200,5300,470,1,1,5400,30,54.93036997,14.26589051
2023/7/25,31,17,7.91,5.8,6.2,170,3400,410,1.2,1.2,3500,96,146.9487211,14.07797167
2023/8/22,27,14,7.99,6.3,6.7,160,3700,470,1.1,1.2,4000,84,89.2019538,14.2639187
2023/9/18,79,56,7.72,4.7,5,88,2700,760,2.9,2.5,2800,450,105.6574447,14.01276287
2023/9/27,38,21,7.71,6,6.4,140,3400,570,1.3,1.4,3700,130,105.6574447,14.01276287
2023/10/25,40,19,8.3,5.9,6.1,150,3300,520,1.7,1.2,3500,110,178.5177982,9.31328735
2023/11/29,20,12,8.07,5.5,5.7,150,3100,470,1,1,3300,91,109.4753933,5.249138121
2023/12/11,50,43,7.86,11,11,120,7100,170,3.6,2.8,6800,120,168.7331341,4.554814068
2024/1/22,41,15,7.98,3.9,4.2,90,0.5,120,100,1.8,1.4,99,121.249551,3.04792166
2024/1/24,27,15,8,4.1,4.2,94,0.5,120,100,1,1.1,110,121.249551,3.04792166
2024/2/27,35,7.1,8.22,5.4,5.8,170,0.5,220,100,1,1,210,72.68344122,5.419177205
2024/3/18,16,17,8.36,5,5.5,160,0.5,200,100,1,1,180,90.14357033,5.746282882
2024/3/26,16,8.8,8.19,5.6,5.9,160,0.5,210,100,1,1,210,90.14357033,5.746282882
2024/4/16,29,16,8.13,4.8,5.1,120,0.5,170,100,1,1,160,115.2551979,7.180126844
2024/5/30,37,24,7.82,5.5,5.8,130,0.5,190,100,1.3,1.1,170,117.1367586,12.44105218
