date,Lead,"Lead,Dissolved",pH,"Cadmium,Dissolved",Cadmium,Sulphate_as_SO4,"Zinc, Dissolved",Iron,"Copper,Dissolved",Copper,Zinc,"Iron,Dissolved",rainfall_mm,temperature_C
2005/8/30,332,139,6.73,26.3,26.5,106,235000,946,1.37,4.34,,500,73.78991438,14.12813852
2005/9/13,520,132,6.5,27.2,43.4,172,22000,1520,1.5,7.2,36900,496,104.9595076,13.3296171
2005/9/22,331,161,6.62,28.7,30.3,107,27300,900,2.23,4.7,27200,490,104.9595076,13.3296171
2005/11/21,478,286,6.07,31.1,30.6,100,25800,672,4.73,7.47,25900,325,204.536134,5.075522668
2005/12/7,737,564,6.6,31.9,32.8,86.7,25000,605,7.98,10.6,24700,321,152.5698701,4.17130989
2005/12/13,616,384,6.19,33.4,34.1,95.3,28000,796,6.3,9.97,30000,357,152.5698701,4.17130989
2005/12/15,521,299,6.39,31.7,32.1,94.2,27900,805,4.44,8.21,28600,344,152.5698701,4.17130989
2007/1/31,510,310,6.5,30,20,,2080,680,10,10,18800,310,228.8498403,5.961929461
2007/2/28,630,530,6.7,20,20,,22600,490,10,10,19400,220,153.6838027,4.847005351
2007/3/28,400,260,6.7,20,10,67.2,19400,750,10,10,20000,300,119.0114883,5.756318827
2007/4/25,320,110,6.7,20,20,90.1,1950,710,10,10,19400,280,17.0884397,9.814001288
2007/5/23,780,370,6.6,30,20,91.4,23700,890,10,10,23800,440,137.810726,10.31091522
2007/6/27,550,300,6.7,30,20,96.1,21800,800,10,10,25500,370,178.6334648,13.6352321
2007/7/25,590,440,6.5,30,20,90.9,23600,790,10,10,24200,300,231.8439222,13.18352924
2007/8/22,510,260,6.6,30,20,88.7,25700,750,20,20,31700,360,72.88576768,13.60102554
2007/9/26,920,810,6.2,30,30,,23700,500,10,10,25200,360,106.0082073,12.27418467
2007/10/17,350,130,6.5,20,20,,23600,1190,10,10,25400,440,62.41333475,9.878641006
2007/11/14,460,230,6.2,26.7,10,,2420,890,1,10,2410,530,95.3676137,6.730273608
2007/12/12,880,670,6.2,44.1,50,,33400,630,16,20,32900,400,214.2064767,4.392239299
2009/2/18,486,234,6.14,23.8,24.8,78,18200,758,1.2,5.5,18400,390,29.96032613,3.409975019
2009/3/11,626,360,6.49,27.7,29,83,20000,765,2.4,8.1,20900,409,81.73207973,5.441778691
2009/8/18,515,284,6.86,26,26.8,83,19100,778,2,5.5,20600,440,94.61067387,14.38560451
2009/10/28,433,198,6.82,25.7,26.3,90,20100,833,1.01,3.91,19500,485,132.0504867,10.30236083
2009/12/8,729,571,6.74,31.4,31,80,22000,679,7.1,10.7,22000,395,169.5669831,2.359271492
2011/1/7,488,254,6.82,26.8,25.7,85.4,18600,942,1.3,5.5,20900,523,180.3492113,2.413612413
2011/8/3,527,239,6.71,28.3,28.5,,21300,994,1.75,5.78,21700,479,79.39853554,13.4514878
2011/9/2,560,269,6.82,29.5,28.8,95.5,21400,972,1.11,5.36,23400,487,139.230853,13.24418585
2011/9/15,645,354,6.71,28.5,30,,21800,1020,3.62,7.37,21900,592,139.230853,13.24418585
2011/10/24,564,316,,26.8,26.7,85.9,22300,935,2.6,6.15,20900,504,140.9870127,11.17816765
2011/11/9,586,273,6.32,25.3,25.5,83.5,20400,1010,1.84,6.55,19100,438,98.53685464,8.475348769
2011/11/18,491,252,6.16,25.1,25.2,83,20100,856,1.34,4.54,19000,439,98.53685464,8.475348769
2011/12/20,1160,977,6.11,40.4,39.7,86,28800,675,10.6,12.9,26200,351,275.1835525,5.605382586
2022/1/17,832,288,6.7,22.7,22.4,73.1,17200,1230,2.13,7.19,18300,326,88.71565209,4.202539987
2022/2/15,838,662,6.5,26.2,27,74,20000,502,3.99,5.89,20100,276,249.5321709,5.888528235
2022/5/5,498,181,6.53,23.5,22.6,83.3,19200,860,1,3.69,19200,380,72.67516163,11.10917054
2022/6/14,425,146,6.83,23.4,23.6,89.7,20500,715,1,3.32,20000,205,80.3641363,12.70401375
2022/7/14,396,122,6.66,24.7,25.5,93.6,21200,690,1,3.31,21300,199,70.89403661,15.47501347
2022/8/10,538,304,6.61,25.1,25.2,90.9,21300,810,1,4.29,20200,488,34.82122562,15.98955095
2022/9/7,729,440,6.35,32.4,32.6,95.4,24700,754,1.4,5.09,25600,379,144.4944835,12.6650663
2022/10/6,871,761,6.5,33.6,32.4,90.4,23900,703,2.81,5.98,24100,339,186.8213261,11.38861112
2022/11/10,830,724,6.23,30.6,31.9,80.2,23100,580,4.25,6.73,22900,379,196.474854,7.902176679
2022/12/8,498,277,6.64,25.4,26,82.3,20300,786,1.85,5.02,20500,398,156.5368957,2.756401158
2024/1/3,998,829,6.16,34,34.4,77.6,29300,502,11.9,13.2,30300,258,158.8873723,3.707147751
2024/1/25,706,494,6.49,23,24.2,74.1,18300,556,2.47,5.05,19700,253,158.8873723,3.707147751
2024/3/7,574,446,6.27,23.8,22.2,21.6,23000,636,3.11,5.49,17700,330,157.8873872,6.545600765
2024/4/9,743,552,6.27,23.6,22.5,65.3,17900,429,3.59,5.37,17300,256,146.9787078,7.841431316
2024/5/2,565,266,6.44,21.3,21.1,74.1,18000,799,1.51,4.59,18800,327,95.41481388,12.06091402
2024/6/4,558,342,6.3,21.6,21.1,73.3,17300,638,2.37,4.79,17900,558,62.53357372,11.84487629
2024/7/2,465,231,6.69,20.8,21,77.2,18100,738,1.96,4.08,17700,363,94.3961979,13.88827011
2024/8/6,468,239,6.7,22,21.8,80.7,18600,727,1.03,3.74,18400,405,103.9333447,14.59927153
2024/9/2,659,233,6.36,21.1,22.6,75.9,18600,1020,1.26,5.54,19700,418,159.6486592,12.17874314
2024/10/9,545,316,6.53,22.6,21.7,77.7,20100,716,2.96,4.85,19400,386,126.7968202,10.18587115
2024/11/6,497,262,6.62,22.5,22.6,75.9,18100,749,1.6,4.56,19400,396,140.7650594,6.746360785
2024/12/4,741,574,6.41,29,28.6,83.8,22100,566,4.71,6.78,22500,333,255.1291648,6.108601692
