,log10 Lead (50),"log10 Lead, Dissolved (52)",log10 pH (61),"log10 Cadmium, Dissolved (106)",log10 Cadmium (108),log10 Sulphate as SO4 (183),"log10 Zinc, Dissolved (3408)",log10 Iron (6051),"log10 Copper, Dissolved (6450)",log10 Copper (6452),log10 Zinc (6455),"log10 Iron, Dissolved (6460)"
log10 Lead (50),1.0,0.19496885376869724,-0.06274859216749826,-0.22706192711991008,0.09388480959189811,-0.22056290014940694,0.047905126241283416,0.6711377981561729,-0.1176592679967285,0.29793417206083844,0.13604590347025272,0.0030749322696487055
"log10 Lead, Dissolved (52)",0.19496885376869724,1.0,-0.128043749735515,-0.2254157107897895,-0.2901493500009609,-0.28283201157427584,-0.05812763924886871,-0.17956998497392848,0.06966036281880333,0.16280359361453603,-0.046614413973779786,0.4646370171996502
log10 pH (61),-0.06274859216749826,-0.128043749735515,1.0,-0.08950354777606014,-0.07961368784825727,0.09153288175891641,0.08880504761743944,0.04997196166834542,-0.09840219934952679,-0.10891451038646718,0.07116150307898288,-0.13725716202051166
"log10 Cadmium, Dissolved (106)",-0.22706192711991008,-0.2254157107897895,-0.08950354777606014,1.0,0.9104914568959314,0.47523692113071575,0.19953972702259865,0.1306815709772595,-0.03727890812061111,-0.192885125078456,0.17089063751475894,-0.15042335602357637
log10 Cadmium (108),0.09388480959189811,-0.2901493500009609,-0.07961368784825727,0.9104914568959314,1.0,0.4637378458092778,0.22630349953734147,0.42336778317992513,-0.08992947378650507,-0.10973339209164715,0.23717587425311967,-0.21735862348726503
log10 Sulphate as SO4 (183),-0.22056290014940694,-0.28283201157427584,0.09153288175891641,0.47523692113071575,0.4637378458092778,1.0,0.36264662108760437,0.3677563877511107,0.03992052396420032,-0.8641656075020966,0.14920346217544184,0.1854519920756616
"log10 Zinc, Dissolved (3408)",0.047905126241283416,-0.05812763924886871,0.08880504761743944,0.19953972702259865,0.22630349953734147,0.36264662108760437,1.0,0.5317258457445684,-0.8790001777252728,-0.2784644296058845,0.9557670728544586,-0.40077426661128757
log10 Iron (6051),0.6711377981561729,-0.17956998497392848,0.04997196166834542,0.1306815709772595,0.42336778317992513,0.3677563877511107,0.5317258457445684,1.0,-0.41214760253505717,-0.1887281304770585,0.49932346702878455,-0.1403357867665106
"log10 Copper, Dissolved (6450)",-0.1176592679967285,0.06966036281880333,-0.09840219934952679,-0.03727890812061111,-0.08992947378650507,0.03992052396420032,-0.8790001777252728,-0.41214760253505717,1.0,-0.10615473093989752,-0.9636773289169792,0.6296396214031529
log10 Copper (6452),0.29793417206083844,0.16280359361453603,-0.10891451038646718,-0.192885125078456,-0.10973339209164715,-0.8641656075020966,-0.2784644296058845,-0.1887281304770585,-0.10615473093989752,1.0,-0.02714069036769364,-0.37371647207745795
log10 Zinc (6455),0.13604590347025272,-0.046614413973779786,0.07116150307898288,0.17089063751475894,0.23717587425311967,0.14920346217544184,0.9557670728544586,0.49932346702878455,-0.9636773289169792,-0.02714069036769364,1.0,-0.5404651809921508
"log10 Iron, Dissolved (6460)",0.0030749322696487055,0.4646370171996502,-0.13725716202051166,-0.15042335602357637,-0.21735862348726503,0.1854519920756616,-0.40077426661128757,-0.1403357867665106,0.6296396214031529,-0.37371647207745795,-0.5404651809921508,1.0
