,Lead (50),"Lead, Dissolved (52)",pH (61),"Cadmium, Dissolved (106)",Cadmium (108),Sulphate as SO4 (183),"Zinc, Dissolved (3408)",Iron (6051),"Copper, Dissolved (6450)",Copper (6452),Zinc (6455),"Iron, Dissolved (6460)"
Lead (50),1.0,-0.045320436835434276,-0.021807024565871216,-0.04340044574751992,0.13177277893892103,-0.095383484021749,-0.07279560263039662,0.6006410341799637,-0.07637834309833867,-0.018213337817954974,0.21984417039783832,-0.06958552566733975
"Lead, Dissolved (52)",-0.045320436835434276,1.0,-0.10754860459283541,-0.061145850345009994,-0.09330656065759972,-0.10666105945692982,0.019750416000996706,-0.09124354087444461,-0.042454183412009135,0.008429498598018203,-0.03319808886852197,0.2674380255328164
pH (61),-0.021807024565871216,-0.10754860459283541,1.0,-0.08384338531151811,-0.06695839199709394,0.11298290960621188,-0.04605392192203178,0.011010889087041757,-0.06924995521473927,-0.06334419822596134,-0.035231871420760084,-0.18418005140766436
"Cadmium, Dissolved (106)",-0.04340044574751992,-0.061145850345009994,-0.08384338531151811,1.0,0.9618724788190182,0.5164410362905532,0.6187763188210199,0.06337847496107155,-0.09243877171150156,-0.11378062294992172,0.6222774938568049,-0.17805118685964128
Cadmium (108),0.13177277893892103,-0.09330656065759972,-0.06695839199709394,0.9618724788190182,1.0,0.47029060803875333,0.5526372279608655,0.2867519648473265,-0.10236581378864447,-0.10621329428936307,0.6790117470897196,-0.19226854468061402
Sulphate as SO4 (183),-0.095383484021749,-0.10666105945692982,0.11298290960621188,0.5164410362905532,0.47029060803875333,1.0,0.5833392103651069,0.050466717804463344,0.009113443803397686,-0.5565254162633078,0.520030047529789,-0.198352534113481
"Zinc, Dissolved (3408)",-0.07279560263039662,0.019750416000996706,-0.04605392192203178,0.6187763188210199,0.5526372279608655,0.5833392103651069,1.0,0.059821657791198184,-0.6446407195244847,-0.2417292763837852,0.8717515702299103,-0.4864967970235927
Iron (6051),0.6006410341799637,-0.09124354087444461,0.011010889087041757,0.06337847496107155,0.2867519648473265,0.050466717804463344,0.059821657791198184,1.0,-0.17700489826971438,-0.08487712697361044,0.5064941012683567,-0.16463388800304596
"Copper, Dissolved (6450)",-0.07637834309833867,-0.042454183412009135,-0.06924995521473927,-0.09243877171150156,-0.10236581378864447,0.009113443803397686,-0.6446407195244847,-0.17700489826971438,1.0,-0.07767693129435597,-0.6257745779515632,0.5501345538954032
Copper (6452),-0.018213337817954974,0.008429498598018203,-0.06334419822596134,-0.11378062294992172,-0.10621329428936307,-0.5565254162633078,-0.2417292763837852,-0.08487712697361044,-0.07767693129435597,1.0,-0.2257967103824634,-0.16679841740205373
Zinc (6455),0.21984417039783832,-0.03319808886852197,-0.035231871420760084,0.6222774938568049,0.6790117470897196,0.520030047529789,0.8717515702299103,0.5064941012683567,-0.6257745779515632,-0.2257967103824634,1.0,-0.5055552710506105
"Iron, Dissolved (6460)",-0.06958552566733975,0.2674380255328164,-0.18418005140766436,-0.17805118685964128,-0.19226854468061402,-0.198352534113481,-0.4864967970235927,-0.16463388800304596,0.5501345538954032,-0.16679841740205373,-0.5055552710506105,1.0
