,Lead (50),"Lead, Dissolved (52)",pH (61),"Cadmium, Dissolved (106)",Cadmium (108),Sulphate as SO4 (183),"Zinc, Dissolved (3408)",Iron (6051),"Copper, Dissolved (6450)",Copper (6452),Zinc (6455),"Iron, Dissolved (6460)"
Lead (50),1.0,0.4390164916092174,-0.19381301711118287,-0.3031819844743641,-0.06257432949866762,-0.47712481227460934,-0.19321629121541112,0.4259138211739729,0.05616435261059513,0.6362659784564682,0.04088604692917162,0.1323160245447136
"Lead, Dissolved (52)",0.4390164916092174,1.0,-0.13964484091436774,-0.22828593965693283,-0.30571901047686945,-0.47954449834488744,-0.2438027013333774,-0.1588369868886743,0.40049717518636396,0.3881489904498824,-0.25374077603769823,0.5507448123604606
pH (61),-0.19381301711118287,-0.13964484091436774,1.0,-0.08533053429707126,-0.0957613821670229,0.14990220216558825,-0.11293550395865648,-0.026713125823078665,-0.10068770886902817,-0.2713829564427524,-0.14090769554714605,-0.06996229276705224
"Cadmium, Dissolved (106)",-0.3031819844743641,-0.22828593965693283,-0.08533053429707126,1.0,0.8627711741512584,0.7778407911097499,0.7045346231759614,0.20441481089859417,-0.04616750634062336,-0.15607028256476024,0.5689780196641591,-0.1638867174069364
Cadmium (108),-0.06257432949866762,-0.30571901047686945,-0.0957613821670229,0.8627711741512584,1.0,0.7341171251621745,0.6661251732205512,0.46621480485357353,-0.15563786658467896,0.0418193391247076,0.7463211950326799,-0.2579875077534665
Sulphate as SO4 (183),-0.47712481227460934,-0.47954449834488744,0.14990220216558825,0.7778407911097499,0.7341171251621745,1.0,0.6529453124519724,0.22388084208922146,-0.17112313504991125,-0.33068977662352433,0.5557365503258972,-0.3144499395116935
"Zinc, Dissolved (3408)",-0.19321629121541112,-0.2438027013333774,-0.11293550395865648,0.7045346231759614,0.6661251732205512,0.6529453124519724,1.0,0.5132034884592415,-0.5048541454794815,-0.05032632504679776,0.894744007723441,-0.524902703277059
Iron (6051),0.4259138211739729,-0.1588369868886743,-0.026713125823078665,0.20441481089859417,0.46621480485357353,0.22388084208922146,0.5132034884592415,1.0,-0.4687290596828012,0.24970874978598218,0.6708761350996475,-0.29324402731899696
"Copper, Dissolved (6450)",0.05616435261059513,0.40049717518636396,-0.10068770886902817,-0.04616750634062336,-0.15563786658467896,-0.17112313504991125,-0.5048541454794815,-0.4687290596828012,1.0,0.21565663410466293,-0.574687788824396,0.6909050911572816
Copper (6452),0.6362659784564682,0.3881489904498824,-0.2713829564427524,-0.15607028256476024,0.0418193391247076,-0.33068977662352433,-0.05032632504679776,0.24970874978598218,0.21565663410466293,1.0,0.16453864012785827,-0.015415849416360084
Zinc (6455),0.04088604692917162,-0.25374077603769823,-0.14090769554714605,0.5689780196641591,0.7463211950326799,0.5557365503258972,0.894744007723441,0.6708761350996475,-0.574687788824396,0.16453864012785827,1.0,-0.5846131972110279
"Iron, Dissolved (6460)",0.1323160245447136,0.5507448123604606,-0.06996229276705224,-0.1638867174069364,-0.2579875077534665,-0.3144499395116935,-0.524902703277059,-0.29324402731899696,0.6909050911572816,-0.015415849416360084,-0.5846131972110279,1.0
