,log10 Lead (50),"log10 Lead, Dissolved (52)",log10 pH (61),"log10 Cadmium, Dissolved (106)",log10 Cadmium (108),log10 Sulphate as SO4 (183),"log10 Zinc, Dissolved (3408)",log10 Iron (6051),"log10 Copper, Dissolved (6450)",log10 Copper (6452),log10 Zinc (6455),"log10 Iron, Dissolved (6460)"
log10 Lead (50),1.0,0.9003783766911534,-0.42101961270791055,0.5392184588494565,0.4416528428495839,-0.16426308590476923,0.14892149854373452,-0.41214444358127644,0.3534840428907105,0.3826508543377606,0.2109356045963862,-0.16908857875903438
"log10 Lead, Dissolved (52)",0.9003783766911534,1.0,-0.4384736545966349,0.5439245868857341,0.340875998629982,-0.3093909519227606,0.15257546044634862,-0.6409589932518578,0.47789938818005906,0.4199830810173374,0.1614614475883055,-0.2050970284844075
log10 pH (61),-0.42101961270791055,-0.4384736545966349,1.0,-0.33832871420529903,-0.21955828697968208,0.18905887231025822,0.01488189809472287,0.3010829002811185,-0.20494957697054483,-0.2843637468228725,0.04890802634175365,0.05956968724497916
"log10 Cadmium, Dissolved (106)",0.5392184588494565,0.5439245868857341,-0.33832871420529903,1.0,0.6463267527103058,0.3109105960839698,0.23555838490824751,-0.129161715989769,0.3836494547480152,0.5150230687515933,0.35321893851287467,0.1070301618745897
log10 Cadmium (108),0.4416528428495839,0.340875998629982,-0.21955828697968208,0.6463267527103058,1.0,0.37597693028284174,0.4496674021640884,-0.04366482890512453,0.04997265829893491,0.07278912853506846,0.6593865064595605,0.08749639918782146
log10 Sulphate as SO4 (183),-0.16426308590476923,-0.3093909519227606,0.18905887231025822,0.3109105960839698,0.37597693028284174,1.0,0.12429746211041487,0.41735740193583254,-0.0611504735675748,0.08012066963977924,0.5603723416773383,0.22382541556547614
"log10 Zinc, Dissolved (3408)",0.14892149854373452,0.15257546044634862,0.01488189809472287,0.23555838490824751,0.4496674021640884,0.12429746211041487,1.0,0.04097465439790924,-0.029156735534960537,-0.11561031787445711,0.6198728648405327,0.10769414657250771
log10 Iron (6051),-0.41214444358127644,-0.6409589932518578,0.3010829002811185,-0.129161715989769,-0.04366482890512453,0.41735740193583254,0.04097465439790924,1.0,-0.3793424006409181,-0.13620714987476337,-0.010290220731789347,0.6103612782384821
"log10 Copper, Dissolved (6450)",0.3534840428907105,0.47789938818005906,-0.20494957697054483,0.3836494547480152,0.04997265829893491,-0.0611504735675748,-0.029156735534960537,-0.3793424006409181,1.0,0.8679231851135097,0.38362601207587965,-0.30546811942731333
log10 Copper (6452),0.3826508543377606,0.4199830810173374,-0.2843637468228725,0.5150230687515933,0.07278912853506846,0.08012066963977924,-0.11561031787445711,-0.13620714987476337,0.8679231851135097,1.0,0.19064365603416675,-0.08070127658535767
log10 Zinc (6455),0.2109356045963862,0.1614614475883055,0.04890802634175365,0.35321893851287467,0.6593865064595605,0.5603723416773383,0.6198728648405327,-0.010290220731789347,0.38362601207587965,0.19064365603416675,1.0,-0.12750852804025434
"log10 Iron, Dissolved (6460)",-0.16908857875903438,-0.2050970284844075,0.05956968724497916,0.1070301618745897,0.08749639918782146,0.22382541556547614,0.10769414657250771,0.6103612782384821,-0.30546811942731333,-0.08070127658535767,-0.12750852804025434,1.0
