,Lead (50),"Lead, Dissolved (52)",pH (61),"Cadmium, Dissolved (106)",Cadmium (108),Sulphate as SO4 (183),"Zinc, Dissolved (3408)",Iron (6051),"Copper, Dissolved (6450)",Copper (6452),Zinc (6455),"Iron, Dissolved (6460)"
Lead (50),1.0,0.9150530801476257,-0.434957890368046,0.5885607617723102,0.4937012664993914,-0.18421428366622863,-0.12597754796757477,-0.3590378774224153,0.3177359806389784,0.37803774939870083,0.2676745013587205,-0.2293210805084018
"Lead, Dissolved (52)",0.9150530801476257,1.0,-0.45874969711986796,0.5976234190721335,0.4545662851937338,-0.2701004588150334,-0.07294563738488333,-0.5952640037492499,0.39963250161489533,0.4011298675707105,0.24211521231580002,-0.30377157196261484
pH (61),-0.434957890368046,-0.45874969711986796,1.0,-0.35751540489223266,-0.2836135799015338,0.14806096071436295,0.1023301831790352,0.26734258619074924,-0.15439634956169493,-0.2529191171161404,-0.10676293180839953,0.10656122568652886
"Cadmium, Dissolved (106)",0.5885607617723102,0.5976234190721335,-0.35751540489223266,1.0,0.735955945253257,0.2994523356972393,0.08438346438327388,-0.16112907240473226,0.4348826965830123,0.577295904124975,0.5839954078186198,0.04327711102663664
Cadmium (108),0.4937012664993914,0.4545662851937338,-0.2836135799015338,0.735955945253257,1.0,0.5258245413804763,0.12838853012606163,0.023795635502868135,0.0911240890690533,0.23772549761476477,0.7084106805737039,0.08920865982244879
Sulphate as SO4 (183),-0.18421428366622863,-0.2701004588150334,0.14806096071436295,0.2994523356972393,0.5258245413804763,1.0,0.19011611327235875,0.5843393222631423,-0.022114384005515082,0.07225813193811728,0.6898728039155316,0.2996694603810339
"Zinc, Dissolved (3408)",-0.12597754796757477,-0.07294563738488333,0.1023301831790352,0.08438346438327388,0.12838853012606163,0.19011611327235875,1.0,0.09997664148456166,-0.05332782067533226,-0.06530610790856886,0.7234641540805923,0.16783946019576976
Iron (6051),-0.3590378774224153,-0.5952640037492499,0.26734258619074924,-0.16112907240473226,0.023795635502868135,0.5843393222631423,0.09997664148456166,1.0,-0.29005746024067364,-0.14506737164448702,0.13043532252250742,0.5800555513265442
"Copper, Dissolved (6450)",0.3177359806389784,0.39963250161489533,-0.15439634956169493,0.4348826965830123,0.0911240890690533,-0.022114384005515082,-0.05332782067533226,-0.29005746024067364,1.0,0.9195837043903602,0.4849697077906844,-0.3100303422397749
Copper (6452),0.37803774939870083,0.4011298675707105,-0.2529191171161404,0.577295904124975,0.23772549761476477,0.07225813193811728,-0.06530610790856886,-0.14506737164448702,0.9195837043903602,1.0,0.4703215470965934,-0.1420865746445538
Zinc (6455),0.2676745013587205,0.24211521231580002,-0.10676293180839953,0.5839954078186198,0.7084106805737039,0.6898728039155316,0.7234641540805923,0.13043532252250742,0.4849697077906844,0.4703215470965934,1.0,-0.06260260441148902
"Iron, Dissolved (6460)",-0.2293210805084018,-0.30377157196261484,0.10656122568652886,0.04327711102663664,0.08920865982244879,0.2996694603810339,0.16783946019576976,0.5800555513265442,-0.3100303422397749,-0.1420865746445538,-0.06260260441148902,1.0
