,Lead (50),"Lead, Dissolved (52)",pH (61),"Cadmium, Dissolved (106)",Cadmium (108),Sulphate as SO4 (183),"Zinc, Dissolved (3408)",Iron (6051),"Copper, Dissolved (6450)",Copper (6452),Zinc (6455),"Iron, Dissolved (6460)"
Lead (50),1.0,0.8859958448514955,-0.3886347790207654,0.47414123043712986,0.4115406847639071,-0.2569322383350571,0.29285823995275123,-0.36976535851026554,0.43342973479997293,0.4234298889775605,0.2638043133339562,-0.22851696597118154
"Lead, Dissolved (52)",0.8859958448514955,1.0,-0.40402345609485724,0.5363045118834058,0.3816284890909203,-0.2419802609411275,0.36422566624313807,-0.6087072547748846,0.5788346577673529,0.4537846021727105,0.2715942445538275,-0.31270134823050233
pH (61),-0.3886347790207654,-0.40402345609485724,1.0,-0.2828816689082088,-0.22637425005057243,0.1653910767374059,-0.20056581749376856,0.31444426860156316,-0.2412719037243284,-0.25829822891069004,-0.09946961399883633,0.16811768906549585
"Cadmium, Dissolved (106)",0.47414123043712986,0.5363045118834058,-0.2828816689082088,1.0,0.6813815128107429,0.5636705984792507,0.6965483091385047,-0.12543405540813152,0.391072102360401,0.5019534465839118,0.7410025290076917,0.025603365650338165
Cadmium (108),0.4115406847639071,0.3816284890909203,-0.22637425005057243,0.6813815128107429,1.0,0.3739968609985143,0.5756280020139192,-0.09384620122488985,0.031203948537950922,0.09996754604780095,0.6114238286430935,0.11388214706051865
Sulphate as SO4 (183),-0.2569322383350571,-0.2419802609411275,0.1653910767374059,0.5636705984792507,0.3739968609985143,1.0,0.6256016337903354,0.3866629699601772,-0.03960733255356251,0.09642274237003702,0.716192620383631,0.23692165510373492
"Zinc, Dissolved (3408)",0.29285823995275123,0.36422566624313807,-0.20056581749376856,0.6965483091385047,0.5756280020139192,0.6256016337903354,1.0,-0.07422165612879693,0.4389575753063995,0.3848730692347395,0.8501230511394791,-0.009151922010064161
Iron (6051),-0.36976535851026554,-0.6087072547748846,0.31444426860156316,-0.12543405540813152,-0.09384620122488985,0.3866629699601772,-0.07422165612879693,1.0,-0.4370690908326519,-0.17102732635930734,0.027871333331357367,0.6647477088206581
"Copper, Dissolved (6450)",0.43342973479997293,0.5788346577673529,-0.2412719037243284,0.391072102360401,0.031203948537950922,-0.03960733255356251,0.4389575753063995,-0.4370690908326519,1.0,0.8238114859522608,0.46314523174945393,-0.38789950058872097
Copper (6452),0.4234298889775605,0.4537846021727105,-0.25829822891069004,0.5019534465839118,0.09996754604780095,0.09642274237003702,0.3848730692347395,-0.17102732635930734,0.8238114859522608,1.0,0.49908163122932864,-0.18132534113464474
Zinc (6455),0.2638043133339562,0.2715942445538275,-0.09946961399883633,0.7410025290076917,0.6114238286430935,0.716192620383631,0.8501230511394791,0.027871333331357367,0.46314523174945393,0.49908163122932864,1.0,0.02753015287760949
"Iron, Dissolved (6460)",-0.22851696597118154,-0.31270134823050233,0.16811768906549585,0.025603365650338165,0.11388214706051865,0.23692165510373492,-0.009151922010064161,0.6647477088206581,-0.38789950058872097,-0.18132534113464474,0.02753015287760949,1.0
