,log10 Lead (50),"log10 Lead, Dissolved (52)",log10 pH (61),"log10 Cadmium, Dissolved (106)",log10 Cadmium (108),log10 Sulphate as SO4 (183),"log10 Zinc, Dissolved (3408)",log10 Iron (6051),"log10 Copper, Dissolved (6450)",log10 Copper (6452),log10 Zinc (6455),"log10 Iron, Dissolved (6460)"
log10 Lead (50),1.0,0.8252827920886309,-0.3207831031973881,-0.07790141313294144,-0.06057099554070459,0.9997954661733329,-0.35908998165708583,0.5872262232146969,-0.06725260554460534,-0.03929358274761371,-0.35488007653841236,0.7106067772856828
"log10 Lead, Dissolved (52)",0.8252827920886309,1.0,-0.48134803436887713,0.23973645113258274,0.19959432771695731,0.9994717689118612,-0.3832445445100197,0.5761187771158737,0.256102096078075,0.22867227177504382,-0.4968276235645822,0.3564932777974689
log10 pH (61),-0.3207831031973881,-0.48134803436887713,1.0,0.050718996029979764,-0.02656636780216776,0.9985621689903522,0.5701599154330516,-0.2763573073011439,0.05168559356722116,-0.08671596866952776,0.6911771160342971,0.007863644070338188
"log10 Cadmium, Dissolved (106)",-0.07790141313294144,0.23973645113258274,0.050718996029979764,1.0,0.8786330721231486,0.6255783725406863,-0.04766520074121937,-0.06529825562580695,0.9834757836180442,0.8631555479085562,-0.023823495595996315,-0.4544845348459395
log10 Cadmium (108),-0.06057099554070459,0.19959432771695731,-0.02656636780216776,0.8786330721231486,1.0,0.5123021934114648,-0.1585174839948094,0.16690811374162104,0.8817863750959009,0.9889486990625972,-0.012464478701111392,-0.20916734824906294
log10 Sulphate as SO4 (183),0.9997954661733329,0.9994717689118612,0.9985621689903522,0.6255783725406863,0.5123021934114648,1.0,0.9987541353215621,0.9995846530067738,0.9063550748819857,0.9138056780089006,0.9987219767676752,0.9993631146633203
"log10 Zinc, Dissolved (3408)",-0.35908998165708583,-0.3832445445100197,0.5701599154330516,-0.04766520074121937,-0.1585174839948094,0.9987541353215621,1.0,-0.6064399637983131,-0.12270078873787398,-0.21818965561778272,0.7381453747436711,-0.1318868846154438
log10 Iron (6051),0.5872262232146969,0.5761187771158737,-0.2763573073011439,-0.06529825562580695,0.16690811374162104,0.9995846530067738,-0.6064399637983131,1.0,0.02197137492579697,0.18556970874880135,-0.27458759293504986,0.6815830462263444
"log10 Copper, Dissolved (6450)",-0.06725260554460534,0.256102096078075,0.05168559356722116,0.9834757836180442,0.8817863750959009,0.9063550748819857,-0.12270078873787398,0.02197137492579697,1.0,0.88055774483019,-0.08218539357168193,-0.3877489689254483
log10 Copper (6452),-0.03929358274761371,0.22867227177504382,-0.08671596866952776,0.8631555479085562,0.9889486990625972,0.9138056780089006,-0.21818965561778272,0.18556970874880135,0.88055774483019,1.0,-0.08458966793782471,-0.1904457602503457
log10 Zinc (6455),-0.35488007653841236,-0.4968276235645822,0.6911771160342971,-0.023823495595996315,-0.012464478701111392,0.9987219767676752,0.7381453747436711,-0.27458759293504986,-0.08218539357168193,-0.08458966793782471,1.0,0.04611236524051423
"log10 Iron, Dissolved (6460)",0.7106067772856828,0.3564932777974689,0.007863644070338188,-0.4544845348459395,-0.20916734824906294,0.9993631146633203,-0.1318868846154438,0.6815830462263444,-0.3877489689254483,-0.1904457602503457,0.04611236524051423,1.0
