code,name,column,n,missing_%,min,median,mean,p95,skewness,%<=0
50,Lead,50_NE43200168,141,0.0,2.0,26.0,97.35787234042553,419.0,6.737916222002793,0.0
52,"Lead, Dissolved",52_NE43200168,140,0.7,2.0,7.475,12.697642857142858,38.29499999999994,6.496618742905193,0.7
61,pH,61_NE43200168,133,5.7,6.44,8.1,8.055263157894736,8.3,-3.1419532741029577,5.7
106,"Cadmium, Dissolved",106_NE43200168,140,0.7,2.35,5.95,6.42,11.409999999999997,4.32161765729092,0.7
108,Cadmium,108_NE43200168,141,0.0,2.65,6.6,7.346737588652483,12.9,5.197050721610208,0.0
183,Sulphate as SO4,183_NE43200168,138,2.1,6.61,160.0,151.68695652173912,210.0,-0.9726449860654687,2.1
3408,"Zinc, Dissolved",3408_NE43200168,140,0.7,0.5,2695.0,2767.3204285714287,6207.999999999997,0.3135868754664569,0.7
6051,Iron,6051_NE43200168,139,1.4,23.3,470.0,916.8539568345325,5230.999999999999,4.302110187130177,1.4
6450,"Copper, Dissolved",6450_NE43200168,140,0.7,1.0,1.0,18.15385714285714,100.0,1.7620321665870338,0.7
6452,Copper,6452_NE43200168,141,0.0,1.0,1.1,67.63929078014183,4.87,5.850548594231413,0.0
6455,Zinc,6455_NE43200168,141,0.0,1.0,3500.0,3381.8633333333332,7400.0,0.6992643788641074,0.0
6460,"Iron, Dissolved",6460_NE43200168,140,0.7,9.0,60.95,93.73707142857143,260.0,1.8971992593464286,0.7
