code,name,column,n,missing_%,min,median,mean,p95,skewness,%<=0
50,Lead,50_s36,35,16.7,60.0,182.0,185.5142857142857,303.7,0.3125916159139086,16.7
52,"Lead, Dissolved",52_s36,42,0.0,70.0,146.5,163.22619047619048,279.59999999999997,0.508576594180771,0.0
61,pH,61_s36,41,2.4,5.37,6.55,6.501707317073171,7.06,-0.5292053106257871,2.4
106,"Cadmium, Dissolved",106_s36,42,0.0,1.01,1.725,3.8707142857142856,10.0,1.8987258748453204,0.0
108,Cadmium,108_s36,35,16.7,1.05,1.74,4.806571428571429,10.0,1.284973518621298,16.7
183,Sulphate as SO4,183_s36,12,71.4,4.89,8.98,7.94,10.0,-0.29987442869471914,71.4
3408,"Zinc, Dissolved",3408_s36,42,0.0,272.0,510.5,514.8571428571429,646.85,1.2377304768455573,0.0
6051,Iron,6051_s36,25,40.5,50.0,172.0,220.38400000000001,369.4,2.8801383952317563,40.5
6450,"Copper, Dissolved",6450_s36,42,0.0,1.83,2.76,4.671428571428571,10.0,2.021291870913584,0.0
6452,Copper,6452_s36,35,16.7,2.1,3.24,5.589142857142858,10.0,1.4426608347897905,16.7
6455,Zinc,6455_s36,35,16.7,271.0,508.0,507.14285714285717,624.6999999999998,-0.3652967149201873,16.7
6460,"Iron, Dissolved",6460_s36,25,40.5,20.0,102.0,145.792,288.0,0.6031686117262923,40.5
