site,code,name,mean,median,p95,skewness
S35629,3408,"Zinc, Dissolved",24812.037037037036,21300.0,28974.999999999996,6.918762512869463
S35629,50,Lead,596.6481481481482,554.0,893.9999999999998,0.9390376748355493
S35629,108,Cadmium,26.12592592592592,25.5,36.25499999999997,0.7680775302309089
S35629,183,Sulphate as SO4,85.41304347826087,83.65,104.5,1.4378758447531097
S35636,3408,"Zinc, Dissolved",514.8571428571429,510.5,646.85,1.2377304768455573
S35636,50,Lead,185.5142857142857,182.0,303.7,0.3125916159139086
S35636,108,Cadmium,4.806571428571429,1.74,10.0,1.284973518621298
S35636,183,Sulphate as SO4,7.94,8.98,10.0,-0.29987442869471914
Nenthead,3408,"Zinc, Dissolved",2767.3204285714287,2695.0,6207.999999999997,0.3135868754664569
Nenthead,50,Lead,97.35787234042553,26.0,419.0,6.737916222002793
Nenthead,108,Cadmium,7.346737588652483,6.6,12.9,5.197050721610208
Nenthead,183,Sulphate as SO4,151.68695652173912,160.0,210.0,-0.9726449860654687
