site,indicator,y,lag_rain,lag_temp,term,coef,se,t,p,R2,R2_adj,BIC,n
Nenthead,Lead (50),log10 50_NE43200168,2,0,rain_lag,0.006126503813485203,0.001207002889250872,5.07579879720721,3.8587144942834103e-07,-0.0726420490769979,-0.17479843470337886,276.4694713376614,139
Nenthead,Lead (50),log10 50_NE43200168,2,0,temp_lag,0.19915263388180743,0.04097309535949572,4.860570873019307,1.1704772988698604e-06,-0.0726420490769979,-0.17479843470337886,276.4694713376614,139
Nenthead,"Lead, Dissolved (52)",log10 52_NE43200168,0,0,rain_lag,0.005191297577677865,0.0007211297501618411,7.198839843333043,6.072702808148298e-13,0.1530916136108591,0.07306877395204259,179.8917115397328,140
Nenthead,"Lead, Dissolved (52)",log10 52_NE43200168,0,0,temp_lag,0.09849452092034885,0.026188116871837183,3.7610386956180992,0.0001692092483816075,0.1530916136108591,0.07306877395204259,179.8917115397328,140
Nenthead,pH (61),log10 61_NE43200168,3,3,rain_lag,0.0018645362449729544,0.0004245902328930609,4.391378087688052,1.1263448378887698e-05,-129.01287074381594,-142.3475241534381,-74.48445383473936,130
Nenthead,pH (61),log10 61_NE43200168,3,3,temp_lag,0.05017285533768143,0.007637551504735054,6.569232993921645,5.057509515190859e-11,-129.01287074381594,-142.3475241534381,-74.48445383473936,130
Nenthead,"Cadmium, Dissolved (106)",log10 106_NE43200168,2,0,rain_lag,0.0015642367587956813,0.00043702803316694733,3.579259544199842,0.0003445691275600657,-0.08227598245733825,-0.18617447677324273,48.40818106015942,138
Nenthead,"Cadmium, Dissolved (106)",log10 106_NE43200168,2,0,temp_lag,0.09875044576765346,0.01743972344532322,5.662385993519593,1.4928255581842216e-08,-0.08227598245733825,-0.18617447677324273,48.40818106015942,138
Nenthead,Cadmium (108),log10 108_NE43200168,2,0,rain_lag,0.0019569044233934815,0.00045286264430358076,4.3211875565555635,1.551916868126115e-05,-0.07252120044921972,-0.1746660766824788,41.38038455235723,139
Nenthead,Cadmium (108),log10 108_NE43200168,2,0,temp_lag,0.10513785638285507,0.018146193830517528,5.793934384523024,6.875633015867405e-09,-0.07252120044921972,-0.1746660766824788,41.38038455235723,139
Nenthead,Sulphate as SO4 (183),log10 183_NE43200168,3,3,rain_lag,0.005641827253748023,0.0012527704593223352,4.503480435513999,6.684952460951184e-06,-1.7438716418780373,-2.0137606558332544,205.56769903958178,135
Nenthead,Sulphate as SO4 (183),log10 183_NE43200168,3,3,temp_lag,0.10717139906636093,0.01902566522287502,5.632990899971589,1.771108072332174e-08,-1.7438716418780373,-2.0137606558332544,205.56769903958178,135
Nenthead,"Zinc, Dissolved (3408)",log10 3408_NE43200168,2,3,rain_lag,0.003674838986970989,0.003944624158502603,0.9316068754104001,0.35153972862025307,-0.04519872071194442,-0.1463469840066487,567.393877980218,137
Nenthead,"Zinc, Dissolved (3408)",log10 3408_NE43200168,2,3,temp_lag,0.16734355611491986,0.054424955004946395,3.074757822026879,0.0021067354478699913,-0.04519872071194442,-0.1463469840066487,567.393877980218,137
Nenthead,Iron (6051),log10 6051_NE43200168,2,0,rain_lag,0.00876531061584896,0.001394477989208555,6.2857289133862695,3.2631893529546414e-10,-0.9118115090388015,-1.0968255260425561,307.6719890041411,137
Nenthead,Iron (6051),log10 6051_NE43200168,2,0,temp_lag,0.2808411583603959,0.055166184160422675,5.090820810511614,3.565168234232827e-07,-0.9118115090388015,-1.0968255260425561,307.6719890041411,137
Nenthead,"Copper, Dissolved (6450)",log10 6450_NE43200168,3,0,rain_lag,0.004126708627640853,0.0021443136167511485,1.9244893076289993,0.0542932796993699,0.08133423279856578,-0.007568905962863193,359.9762210072382,137
Nenthead,"Copper, Dissolved (6450)",log10 6450_NE43200168,3,0,temp_lag,0.0522622544827235,0.052790231951950595,0.989998576446725,0.32217481482752097,0.08133423279856578,-0.007568905962863193,359.9762210072382,137
Nenthead,Copper (6452),log10 6452_NE43200168,3,2,rain_lag,-0.0016332623106219818,0.0015097465241548022,-1.0818122674839918,0.2793359544766525,0.10390202221135825,0.017876616343648566,288.20284259649435,138
Nenthead,Copper (6452),log10 6452_NE43200168,3,2,temp_lag,0.05543663777546772,0.030856514540782694,1.7965942881266699,0.07240005185712849,0.10390202221135825,0.017876616343648566,288.20284259649435,138
Nenthead,Zinc (6455),log10 6455_NE43200168,2,3,rain_lag,0.0035594092403361194,0.003468446335586859,1.0262258359934722,0.30478514594061645,-0.061095850494990334,-0.16296105214250955,547.736731824591,138
Nenthead,Zinc (6455),log10 6455_NE43200168,2,3,temp_lag,0.18816977126061127,0.05004444814465633,3.760052877727732,0.00016987744588515646,-0.061095850494990334,-0.16296105214250955,547.736731824591,138
Nenthead,"Iron, Dissolved (6460)",log10 6460_NE43200168,3,3,rain_lag,0.0059106402652047176,0.0010443008532788468,5.659901786584552,1.5145964920418774e-08,-0.3950774740939871,-0.5300849715869536,218.0498554031392,137
Nenthead,"Iron, Dissolved (6460)",log10 6460_NE43200168,3,3,temp_lag,0.09237939039450754,0.01676212520447749,5.511197969684131,3.563995826905214e-08,-0.3950774740939871,-0.5300849715869536,218.0498554031392,137
