year,date,50_Pugh,52_Pugh,106_Pugh,108_Pugh,207_Pugh,211_Pugh,237_Pugh,241_Pugh,3408_Pugh,6037_Pugh,6050_Pugh,6051_Pugh,6057_Pugh,6450_Pugh,6452_Pugh,6455_Pugh,6458_Pugh,6460_Pugh
2005,2005/8/30,332,139,26.3,26.5,7.11,0.7,7.91,25.7,235000,7.84,487,946,114.0,1.37,4.34,234000,491.0,500
2005,2005/9/13,520,132,27.2,43.4,11.6,1.11,12.6,42.4,22000,21.5,798,1520,205.0,1.5,7.2,36900,501.0,496
2005,2005/9/22,331,161,28.7,30.3,7.1,0.62,7.98,25.8,27300,9.6,474,900,121.0,2.23,4.7,27200,456.0,490
2005,2005/11/21,478,286,31.1,30.6,5.78,0.54,6.68,20.8,25800,6.58,399,672,161.0,4.73,7.47,25900,401.0,325
2005,2005/12/7,737,564,31.9,32.8,4.85,0.46,5.79,17.6,25000,22.9,294,605,354.0,7.98,10.6,24700,284.0,321
2005,2005/12/13,616,384,33.4,34.1,5.7,0.51,6.49,20.4,28000,7.93,377,796,194.0,6.3,9.97,30000,379.0,357
2005,2005/12/15,521,299,31.7,32.1,5.89,0.56,6.71,21.2,27900,5.65,396,805,168.0,4.44,8.21,28600,392.0,344
2007,2007/1/31,510,310,30.0,20.0,5.72,0.73,5.83,20.7,2080,10.0,350,680,140.0,10.0,10.0,18800,360.0,310
2007,2007/2/28,630,530,20.0,20.0,4.88,0.47,5.27,18.9,22600,10.0,280,490,170.0,10.0,10.0,19400,300.0,220
2007,2007/3/28,400,260,20.0,10.0,0.48,0.01,0.03,12.5,19400,10.0,10,750,10.0,10.0,10.0,20000,340.0,300
2007,2007/4/25,320,110,20.0,20.0,5.8,0.54,6.83,23.7,1950,10.0,430,710,80.0,10.0,10.0,19400,450.0,280
2007,2007/5/23,780,370,30.0,20.0,6.0,0.52,6.46,20.8,23700,10.0,370,890,250.0,10.0,10.0,23800,370.0,440
2007,2007/6/27,550,300,30.0,20.0,5.77,0.49,6.69,22.5,21800,10.0,400,800,150.0,10.0,10.0,25500,430.0,370
2007,2007/7/25,590,440,30.0,20.0,5.39,0.48,5.97,20.0,23600,40.0,320,790,170.0,10.0,10.0,24200,340.0,300
2007,2007/8/22,510,260,30.0,20.0,5.59,0.54,6.46,21.6,25700,10.0,370,750,10.0,20.0,20.0,31700,370.0,360
2007,2007/9/26,920,810,30.0,30.0,5.1,1.0,6.1,17.3,23700,20.0,280,500,400.0,10.0,10.0,25200,280.0,360
2007,2007/10/17,350,130,20.0,20.0,6.1,1.0,8.2,24.5,23600,10.0,510,1190,140.0,10.0,10.0,25400,510.0,440
2007,2007/11/14,460,230,26.7,10.0,5.1,1.0,8.2,23.5,2420,10.0,430,890,140.0,1.0,10.0,2410,430.0,530
2007,2007/12/12,880,670,44.1,50.0,5.1,1.0,7.1,21.4,33400,30.0,380,630,430.0,16.0,20.0,32900,380.0,400
2009,2009/2/18,486,234,23.8,24.8,5.1,0.52,6.08,19.6,18200,10.0,377,758,134.0,1.2,5.5,18400,377.0,390
2009,2009/3/11,626,360,27.7,29.0,5.5,0.62,6.22,19.5,20000,10.0,366,765,174.0,2.4,8.1,20900,362.0,409
2009,2009/8/18,515,284,26.0,26.8,5.1,0.56,6.22,20.5,19100,10.0,381,778,141.0,2.0,5.5,20600,393.0,440
2009,2009/10/28,433,198,25.7,26.3,5.8,0.6,6.98,23.7,20100,10.0,423,833,104.0,1.01,3.91,19500,420.0,485
2009,2009/12/8,729,571,31.4,31.0,4.9,0.58,5.4,17.2,22000,13.0,315,679,296.0,7.1,10.7,22000,,395
2011,2011/1/7,488,254,26.8,25.7,5.7,0.596,6.51,21.5,18600,10.0,420,942,162.0,1.3,5.5,20900,,523
2011,2011/8/3,527,239,28.3,28.5,5.23,0.57,6.57,21.2,21300,10.0,428,994,155.0,1.75,5.78,21700,437.0,479
2011,2011/9/2,560,269,29.5,28.8,6.05,0.605,6.88,22.5,21400,10.0,422,972,177.0,1.11,5.36,23400,426.0,487
2011,2011/9/15,645,354,28.5,30.0,5.85,0.543,6.28,20.4,21800,10.0,396,1020,205.0,3.62,7.37,21900,404.0,592
2011,2011/10/24,564,316,26.8,26.7,5.43,0.558,6.24,20.0,22300,10.0,399,935,176.0,2.6,6.15,20900,390.0,504
2011,2011/11/9,586,273,25.3,25.5,5.67,0.571,6.31,20.4,20400,10.0,387,1010,208.0,1.84,6.55,19100,391.0,438
2011,2011/11/18,491,252,25.1,25.2,5.29,0.562,6.29,20.6,20100,10.0,398,856,148.0,1.34,4.54,19000,403.0,439
2011,2011/12/20,1160,977,40.4,39.7,5.29,0.476,5.2,15.4,28800,31.8,251,675,494.0,10.6,12.9,26200,248.0,351
2022,2022/1/17,832,288,22.7,22.4,5.48,0.678,5.73,18.2,17200,10.0,339,1230,192.0,2.13,7.19,18300,332.0,326
2022,2022/2/15,838,662,26.2,27.0,5.53,0.46,5.32,16.2,20000,10.1,272,502,169.0,3.99,5.89,20100,260.0,276
2022,2022/5/5,498,181,23.5,22.6,6.15,0.611,6.76,21.7,19200,10.0,398,860,107.0,1.0,3.69,19200,392.0,380
2022,2022/6/14,425,146,23.4,23.6,6.57,0.68,7.1,23.5,20500,10.0,415,715,89.7,1.0,3.32,20000,406.0,205
2022,2022/7/14,396,122,24.7,25.5,6.34,0.589,7.26,23.8,21200,10.0,428,690,88.9,1.0,3.31,21300,433.0,199
2022,2022/8/10,538,304,25.1,25.2,6.74,0.648,6.67,21.7,21300,10.0,376,810,114.0,1.0,4.29,20200,371.0,488
2022,2022/9/7,729,440,32.4,32.6,6.18,0.442,6.63,21.1,24700,10.0,412,754,173.0,1.4,5.09,25600,409.0,379
2022,2022/10/6,871,761,33.6,32.4,6.12,0.542,5.96,18.4,23900,11.4,331,703,219.0,2.81,5.98,24100,325.0,339
2022,2022/11/10,830,724,30.6,31.9,5.8,0.596,5.72,17.2,23100,12.5,278,580,230.0,4.25,6.73,22900,283.0,379
2022,2022/12/8,498,277,25.4,26.0,6.07,0.681,6.64,20.8,20300,33.0,392,786,124.0,1.85,5.02,20500,379.0,398
2024,2024/1/3,998,829,34.0,34.4,4.93,0.382,4.79,14.1,29300,45.4,224,502,278.0,11.9,13.2,30300,227.0,258
2024,2024/1/25,706,494,23.0,24.2,5.37,0.448,5.56,17.6,18300,10.0,296,556,159.0,2.47,5.05,19700,290.0,253
2024,2024/3/7,574,446,23.8,22.2,5.51,0.481,5.54,17.2,23000,10.0,315,636,117.0,3.11,5.49,17700,305.0,330
2024,2024/4/9,743,552,23.6,22.5,5.02,0.461,4.74,14.4,17900,10.1,249,429,122.0,3.59,5.37,17300,249.0,256
