date,year,50_Pugh,52_Pugh,61_Pugh,76_Pugh,77_Pugh,106_Pugh,108_Pugh,111_Pugh,116_Pugh,135_Pugh,183_Pugh,205_Pugh,207_Pugh,209_Pugh,211_Pugh,235_Pugh,237_Pugh,239_Pugh,241_Pugh,3164_Pugh,3408_Pugh,3409_Pugh,3410_Pugh,6037_Pugh,6050_Pugh,6051_Pugh,6057_Pugh,6059_Pugh,6062_Pugh,6063_Pugh,6450_Pugh,6452_Pugh,6455_Pugh,6458_Pugh,6460_Pugh,6462_Pugh,6693_Pugh,9446_Pugh,9447_Pugh,9901_Pugh
2005/8/30,2005,332,139,6.73,11.59,,26.3,26.5,,1,,106,,7.11,,0.7,,7.91,,25.7,,235000,,,7.84,487,946,114,,,,1.37,4.34,234000,491,500,,,,,
2005/9/13,2005,520,132,6.5,10.57,,27.2,43.4,,1,,172,,11.6,,1.11,,12.6,,42.4,,22000,,,21.5,798,1520,205,,,,1.5,7.2,36900,501,496,,,,,
2005/9/22,2005,331,161,6.62,10.99,,28.7,30.3,,1,,107,,7.1,,0.62,,7.98,,25.8,,27300,,,9.6,474,900,121,,,,2.23,4.7,27200,456,490,,,,,
2005/11/21,2005,478,286,6.07,9.13,,31.1,30.6,,1,,100,,5.78,,0.54,,6.68,,20.8,,25800,,,6.58,399,672,161,,,,4.73,7.47,25900,401,325,,,,,
2005/12/7,2005,737,564,6.6,,,31.9,32.8,,1,,86.7,,4.85,,0.46,,5.79,,17.6,,25000,,,22.9,294,605,354,,,,7.98,10.6,24700,284,321,,,,,
2005/12/13,2005,616,384,6.19,8.76,,33.4,34.1,,1,,95.3,,5.7,,0.51,,6.49,,20.4,,28000,,,7.93,377,796,194,,,,6.3,9.97,30000,379,357,,,,,
2005/12/15,2005,521,299,6.39,9.3,,31.7,32.1,,1,,94.2,,5.89,,0.56,,6.71,,21.2,,27900,,,5.65,396,805,168,,,,4.44,8.21,28600,392,344,,,,,
2007/1/31,2007,510,310,6.5,,245,30,20,0.01,,5,,5.99,5.72,0.73,0.73,6.17,5.83,20.6,20.7,20,2080,20,30,10,350,680,140,50,10,30,10,10,18800,360,310,30,30,10,50,
2007/2/28,2007,630,530,6.7,,233,20,20,0.02,,5,,4.05,4.88,0.44,0.47,5.13,5.27,18.5,18.9,20,22600,20,30,10,280,490,170,50,10,30,10,10,19400,300,220,40,30,10,50,
2007/3/28,2007,400,260,6.7,,242,20,10,0.05,,5,,5.43,0.48,0.49,0.01,5.97,0.03,19.8,12.5,20,19400,20,30,10,10,750,10,50,10,30,10,10,20000,340,300,20,30,10,50,
