date,temp_max_C,temp_min_C
2007/1/15,8.7,3.4
2007/2/15,7.9,2.1
2007/3/15,9.5,2.2
2007/4/15,15.8,4.4
2007/5/15,14.5,6
2007/6/15,18,10
2007/7/15,16.3,9.6
2007/8/15,17.5,8.7
2007/9/15,15.7,8.5
2007/10/15,13.5,6.6
2007/11/15,9.7,3.8
2007/12/15,7.3,1.6
2008/1/15,8.1,2.8
2008/2/15,9.6,0.9
2008/3/15,7.8,1.2
2008/4/15,10,2.6
2008/5/15,17.2,7.4
2008/6/15,15.5,7.4
2008/7/15,17.5,10.6
2008/8/15,16.7,11.5
2008/9/15,15.5,7.8
2008/10/15,11.5,5.6
2008/11/15,8.7,3.8
2008/12/15,5.9,-0.3
2009/1/15,5.8,-0.7
2009/2/15,5.5,0.8
2009/3/15,8.7,2
2009/4/15,12.5,3.5
2009/5/15,14.1,6.1
2009/6/15,18.2,9
2009/7/15,17.7,11
2009/8/15,17.8,11.1
2009/9/15,15.7,8.8
2009/10/15,13.9,6.9
2009/11/15,9.4,4.9
2009/12/15,5.2,-0.2
2010/1/15,3.4,-2.3
2010/2/15,4.8,-1.6
2010/3/15,8.7,0.8
2010/4/15,13,3.8
2010/5/15,14.2,4.7
2010/6/15,18.8,8
2010/7/15,17.3,11.9
2010/8/15,16.6,9.3
2010/9/15,16.3,8.7
2010/10/15,12.5,5.2
2010/11/15,7.1,0.5
2010/12/15,3.1,-3.7
2011/1/15,5.8,-0.3
2011/2/15,8.3,3.1
2011/3/15,10.3,1.4
